case_index,controller,model_name,path_name,path_file,ref_file,disturbance_level,disturbance_scale,disturbance_noise_scale,disturbance_process_scale,noise_enabled,noise_signature,process_signature,seed,status,message,elapsed_sec,n_samples,ey_rmse,ey_peak,epsi_rmse,epsi_peak,ev_rmse,eomega_rmse,j_du,viol_rate,F_sat_pct,omega_sat_pct,realtime_p50_ms,realtime_p95_ms,realtime_p99_ms,timeout_rate,timeseries_file
1,Mamba2,LPVMPC_AGV_simulink_Mamba,path_industrial,E:\Matlab\Simulink\S-Function_16\data\paths\path_industrial.mat,E:\Matlab\Simulink\S-Function_16\data\paths\path_industrial.mat,1,1,1,0.35,1,3.76872664625997,783.0639875,1,ok,,4148.5589074,14950,0.0167592639882056,0.0852732081434221,0.0940407538692422,0.202832155779597,0.0493805439206375,0.0364647969600908,943931.244878348,0.000133779264214047,0,0.0133779264214047,0.0550172,0.623581575,0.678702214,0,
2,Mamba2,LPVMPC_AGV_simulink_Mamba,path_industrial,E:\Matlab\Simulink\S-Function_16\data\paths\path_industrial.mat,E:\Matlab\Simulink\S-Function_16\data\paths\path_industrial.mat,1,1,1,0.35,1,3.76872664625997,783.0639875,2,ok,,3801.7749082,14950,0.0173481640270274,0.0915348233658977,0.0950124733149725,0.209328968552747,0.0510419071763433,0.0380086960324426,914784.539115052,0.000468227424749164,0.0468227424749164,0.0133779264214047,0.19354985,0.604954,0.655795142,0,
3,Mamba2,LPVMPC_AGV_simulink_Mamba,path_industrial,E:\Matlab\Simulink\S-Function_16\data\paths\path_industrial.mat,E:\Matlab\Simulink\S-Function_16\data\paths\path_industrial.mat,2,1.5,1.5,0.7,1,5.65308996938996,763.587975,1,ok,,3191.8283535,14950,0.0149379389710532,0.0672292737980747,0.0780512723550948,0.165419713714095,0.0448119482605795,0.0314148297939544,518946.722859232,0,0,0,0.1787668,0.428852495,0.449870522,0,
4,Mamba2,LPVMPC_AGV_simulink_Mamba,path_industrial,E:\Matlab\Simulink\S-Function_16\data\paths\path_industrial.mat,E:\Matlab\Simulink\S-Function_16\data\paths\path_industrial.mat,2,1.5,1.5,0.7,1,5.65308996938996,763.587975,2,ok,,3220.0827155,14950,0.0157467462496838,0.0809138977465667,0.0802393454990931,0.175851763499975,0.0465160582078775,0.0338572539861212,640338.988583733,0.000133779264214047,0,0.0133779264214047,0.16773365,0.4383993,0.459544835,0,
5,Mamba2,LPVMPC_AGV_simulink_Mamba,path_s_curve,E:\Matlab\Simulink\S-Function_16\data\paths\path_s_curve.mat,E:\Matlab\Simulink\S-Function_16\data\paths\path_s_curve.mat,1,1,1,0.35,1,3.76872664625997,783.0639875,1,ok,,2565.5683866,11950,0.0450878248669308,0.183700082647998,0.0543407285370498,0.315233007081671,0.00962888978825961,0.0508521653453977,13786.3473071681,0,0,0,0.18334285,0.439549185,0.462609395,0,
6,Mamba2,LPVMPC_AGV_simulink_Mamba,path_s_curve,E:\Matlab\Simulink\S-Function_16\data\paths\path_s_curve.mat,E:\Matlab\Simulink\S-Function_16\data\paths\path_s_curve.mat,1,1,1,0.35,1,3.76872664625997,783.0639875,2,ok,,2574.9827013,11950,0.0450672595456933,0.185333965140447,0.0546142550057203,0.31669278041715,0.00931281459824879,0.0511250936775267,11732.741118819,0,0,0,0.1735908,0.44141136,0.462861051,0,
7,Mamba2,LPVMPC_AGV_simulink_Mamba,path_s_curve,E:\Matlab\Simulink\S-Function_16\data\paths\path_s_curve.mat,E:\Matlab\Simulink\S-Function_16\data\paths\path_s_curve.mat,2,1.5,1.5,0.7,1,5.65308996938996,763.587975,1,ok,,2573.9223001,11950,0.0450494553657567,0.177817719034671,0.0511744427533994,0.302098854675456,0.0089036675696961,0.0493003886347496,13931.1231014003,0,0,0,0.1776594,0.440286675,0.461428626,0,
8,Mamba2,LPVMPC_AGV_simulink_Mamba,path_s_curve,E:\Matlab\Simulink\S-Function_16\data\paths\path_s_curve.mat,E:\Matlab\Simulink\S-Function_16\data\paths\path_s_curve.mat,2,1.5,1.5,0.7,1,5.65308996938996,763.587975,2,ok,,2565.2390824,11950,0.0450491075351019,0.179385585294059,0.0516043788575463,0.303123096296588,0.00847639206366277,0.0495998174872131,10456.0521134429,0,0,0,0.17374005,0.440128385,0.460640837,0,
9,Mamba2,LPVMPC_AGV_simulink_Mamba,path_slope,E:\Matlab\Simulink\S-Function_16\data\paths\path_slope.mat,E:\Matlab\Simulink\S-Function_16\data\paths\path_slope.mat,1,1,1,0.35,1,3.76872664625997,783.0639875,1,ok,,2811.817707,11950,0,0,0,0,0.0740384003412816,0,1210646.29874913,0,0,0,0.15899865,0.58491856,0.639891185,0,
10,Mamba2,LPVMPC_AGV_simulink_Mamba,path_slope,E:\Matlab\Simulink\S-Function_16\data\paths\path_slope.mat,E:\Matlab\Simulink\S-Function_16\data\paths\path_slope.mat,1,1,1,0.35,1,3.76872664625997,783.0639875,2,ok,,3171.4110596,11950,0,0,0,0,0.0745216590346247,0,1212853.41032264,0,0,0,0.1771154,0.623056215,0.669133918,0,
11,Mamba2,LPVMPC_AGV_simulink_Mamba,path_slope,E:\Matlab\Simulink\S-Function_16\data\paths\path_slope.mat,E:\Matlab\Simulink\S-Function_16\data\paths\path_slope.mat,2,1.5,1.5,0.7,1,5.65308996938996,763.587975,1,ok,,2506.7372834,11950,0,0,0,0,0.0703391222057651,0,1190096.37833562,0,0,0,0.17379985,0.431041865,0.455567347,0,
12,Mamba2,LPVMPC_AGV_simulink_Mamba,path_slope,E:\Matlab\Simulink\S-Function_16\data\paths\path_slope.mat,E:\Matlab\Simulink\S-Function_16\data\paths\path_slope.mat,2,1.5,1.5,0.7,1,5.65308996938996,763.587975,2,ok,,2535.0393179,11950,0,0,0,0,0.0709041992803175,0,1207642.93131286,0,0,0,0.1786071,0.43643472,0.459264989,0,
