canonical_metric,source_priority,allowed_source_fields,unit,direction,normalization,missing_policy,used_in,hard_constraint_threshold,notes
xy_rmse,xy_rmse_mean > xy_rmse > path_xy_rmse,baseline_closed_loop_metrics.csv:xy_rmse_mean; closed_loop_csv:xy_rmse,m,lower,ratio_to_baseline,NaN_only;no_zero_fill;no_baseline_fill;skip_component,J_control;hard_constraint;report,n/a,same path and protocol required for oracle comparison
ey_rmse,ey_rmse_mean > ey_rmse > path_ey_rmse,baseline_closed_loop_metrics.csv:ey_rmse_mean; closed_loop_csv:ey_rmse,m,lower,ratio_to_baseline,NaN_only;no_zero_fill;no_baseline_fill;skip_component,J_control;report,n/a,same path and protocol required for oracle comparison
epsi_rmse,epsi_rmse > path_epsi_rmse,baseline_closed_loop_metrics.csv:epsi_rmse; closed_loop_csv:epsi_rmse,rad,lower,ratio_to_baseline,NaN_only;no_zero_fill;no_baseline_fill;skip_component,J_control;report,n/a,same path and protocol required for oracle comparison
control_smoothness,theta_sched_smoothness > theta_sched_step_p95 > theta_hat_step_p95,confidence_scheduling_decision.json:theta_sched_smoothness; baseline_closed_loop_metrics.csv:theta_sched_step_p95_deg; baseline_closed_loop_metrics.csv:theta_hat_step_p95_deg,deg/step,lower,ratio_to_baseline,NaN_only;no_zero_fill;no_baseline_fill;skip_component,J_event;report,n/a,scheduled step proxy used when theta_sched_smoothness is unavailable
omega_cmd_rms,omega_cmd_rms > domega_cmd_rms > dF_rms,baseline_closed_loop_metrics.csv:omega_cmd_rms; baseline_closed_loop_metrics.csv:domega_cmd_rms; baseline_closed_loop_metrics.csv:dF_rms,rad/s,lower,ratio_to_baseline,NaN_only;no_zero_fill;no_baseline_fill;skip_component,J_control;hard_constraint;report,baseline_omega_cmd_rms * 1.10,hard constraint frozen before reranking
delta_u_proxy,j_du > delta_u_rms > domega_cmd_rms > dF_rms,baseline_closed_loop_metrics.csv:j_du_mean; baseline_closed_loop_metrics.csv:j_du; baseline_closed_loop_metrics.csv:domega_cmd_rms; baseline_closed_loop_metrics.csv:dF_rms,proxy,lower,ratio_to_baseline,NaN_only;no_zero_fill;no_baseline_fill;skip_component,J_control;hard_constraint;report,baseline_delta_u_proxy * 1.10,constraint proxy must not be backfilled
theta_sched_mae_deg,theta_sched_mae_deg > theta_mae_deg,confidence_scheduling_decision.json:theta_sched_mae_deg; sci_innovation_ablation_master_table.csv:theta_sched_mae_deg,deg,lower,ratio_to_baseline,NaN_only;no_zero_fill;no_baseline_fill;skip_component,J_event;report,n/a,E5 advisory metric only in this window
theta_mae_deg,theta_mae_deg > theta_abs_le_10_mae_deg,sci_innovation_ablation_master_table.csv:theta_mae_deg; baseline_offline_metrics.csv:theta_mae_deg; closed_loop_csv:theta_mae_deg,deg,lower,ratio_to_baseline,NaN_only;no_zero_fill;no_baseline_fill;skip_component,J_event;report,n/a,offline theta headline metric
theta_edge_p95_abs_err,theta_edge_p95_abs_err > theta_abs_le_10_p95_abs_err_deg,sci_innovation_ablation_master_table.csv:theta_edge_p95_abs_err; baseline_offline_metrics.csv:theta_abs_le_10_p95_abs_err_deg; closed_loop_csv:theta_edge_p95_abs_err,deg,lower,ratio_to_baseline,NaN_only;no_zero_fill;no_baseline_fill;skip_component,J_event;hard_constraint;report,baseline_theta_edge_p95_abs_err * 1.05,hard protection metric; no synthetic fill
flat_peak_theta_error,flat_peak_theta_error > theta_flat_abs_p95_deg,sci_innovation_ablation_master_table.csv:flat_peak_theta_error; closed_loop_csv:flat_peak_theta_error,deg,lower,ratio_to_baseline,NaN_only;no_zero_fill;no_baseline_fill;skip_component,J_event;hard_constraint;report,baseline_flat_peak_theta_error * 1.05,hard protection metric; no synthetic fill
constraint_penalty,"viol_rate > constraint_touch_count > max(F_limit_hit_pct, omega_limit_hit_pct)",baseline_closed_loop_metrics.csv:viol_rate; baseline_closed_loop_metrics.csv:constraint_touch_count; baseline_closed_loop_metrics.csv:F_limit_hit_pct; baseline_closed_loop_metrics.csv:omega_limit_hit_pct,ratio,lower,ratio_to_baseline,NaN_only;no_zero_fill;no_baseline_fill;skip_component,J_control;hard_constraint;report,baseline_constraint_penalty * 1.00,constraint penalty frozen before ranking
gap_to_oracle,oracle_gap > closed_loop_gap_to_oracle,oracle_closed_loop.csv:gap_to_oracle; same_path_same_protocol_closed_loop_delta,score,lower,ratio_to_oracle_baseline,NaN_only;no_zero_fill;no_baseline_fill;skip_component,J_control;report,n/a,"only valid when same path, same scenario, same metric, same closed-loop protocol"
acc_main,acc_main > main_acc_pct,sci_innovation_ablation_master_table.csv:acc_main; baseline_offline_metrics.csv:acc_main; closed_loop_csv:main_acc_pct,fraction,higher,ratio_to_baseline,NaN_only;no_zero_fill;no_baseline_fill;skip_component,J_perception;hard_constraint;report,baseline_acc_main - 0.010,hard classification gate
acc_turn,acc_turn > turn_acc_pct,sci_innovation_ablation_master_table.csv:acc_turn; closed_loop_csv:turn_acc_pct,fraction,higher,ratio_to_baseline,NaN_only;no_zero_fill;no_baseline_fill;skip_component,J_perception;report,n/a,perception proxy metric
acc_turn_transition,acc_turn_transition > transition_accuracy,sci_innovation_ablation_master_table.csv:acc_turn_transition; closed_loop_csv:turn_transition_acc_pct,fraction,higher,ratio_to_baseline,NaN_only;no_zero_fill;no_baseline_fill;skip_component,J_perception;report,n/a,transition-sensitive proxy metric
stall_recall,stall_recall > stall_recall_pct,sci_innovation_ablation_master_table.csv:stall_recall; baseline_offline_metrics.csv:stall_recall; closed_loop_csv:stall_recall_pct,fraction,higher,ratio_to_baseline,NaN_only;no_zero_fill;no_baseline_fill;skip_component,J_perception;hard_constraint;report,baseline_stall_recall - 0.050,hard protection metric
slope_recall,slope_recall > slope_recall_pct,sci_innovation_ablation_master_table.csv:slope_recall; baseline_offline_metrics.csv:slope_recall; closed_loop_csv:slope_recall_pct,fraction,higher,ratio_to_baseline,NaN_only;no_zero_fill;no_baseline_fill;skip_component,J_perception;hard_constraint;report,baseline_slope_recall - 0.010,hard protection metric
flat_recall,flat_recall > flat_recall_pct,sci_innovation_ablation_master_table.csv:flat_recall; baseline_offline_metrics.csv:flat_recall,fraction,higher,ratio_to_baseline,NaN_only;no_zero_fill;no_baseline_fill;skip_component,J_perception;report,n/a,offline steady-state recall
