controller,zone,t0,t1,duration_s,n_samples,ey_rmse,ey_peak,ey_iae,epsi_rmse,epsi_peak,ev_rmse,ev_peak,eomega_rmse,eomega_peak,xy_rmse,xy_peak,F_rms,F_peak,F_sat595_pct,F_limit_hit_pct,omega_cmd_rms,omega_cmd_peak,omega_sat060_pct,omega_limit_hit_pct,viol_rate,j_du,dF_rms,domega_cmd_rms,solve_time_p50_ms,solve_time_p95_ms,solve_time_p99_ms,solve_time_max_ms,timeout_rate,theta_mae_deg,theta_peak_deg,theta_sched_mae_deg,theta_hat_step_p95_deg,theta_sched_step_p95_deg,main_acc_pct,turn_acc_pct,flat_false_slope_pct,slope_recall_pct,right_recall_pct,left_recall_pct,pred_main_1_pct,pred_main_2_pct,pred_main_3_pct,pred_turn_m1_pct,pred_turn_0_pct,pred_turn_1_pct,path_tag
ModernTCN,all,0,1,1,51,0,0,0,0,0,0.0609501539356516,0.126625803468147,0,0,0.22691940322008,0.235387117238755,82.9528661357277,146.683712535538,0,0,2.25497072482806e-06,2.68580832596399e-06,0,0,0,5.92268679383926,2.43365708221993,9.44698171263555e-08,0.0066409,0.00750019,0.007682407,0.0076828,0,0,0,0,0,0,100,100,0,NaN,NaN,NaN,100,0,0,0,100,0,path_factory_logistics_showcase_theta10_v3
GRU,all,0,1,1,51,0,0,0,0,0,0.0609501539356516,0.126625803468147,0,0,0.22691940322008,0.235387117238755,82.9528661357277,146.683712535538,0,0,2.25497072482806e-06,2.68580832596399e-06,0,0,0,5.92268679383926,2.43365708221993,9.44698171263555e-08,0.0059511,0.006901835,0.007447018,0.0074504,0,0,0,0,0,0,100,100,0,NaN,NaN,NaN,100,0,0,0,100,0,path_factory_logistics_showcase_theta10_v3
TCN,all,0,1,1,51,0,0,0,0,0,0.0609501539356516,0.126625803468147,0,0,0.22691940322008,0.235387117238755,82.9528661357277,146.683712535538,0,0,2.25497072482806e-06,2.68580832596399e-06,0,0,0,5.92268679383926,2.43365708221993,9.44698171263555e-08,0.0060233,0.006853415,0.010063535,0.0100954,0,0,0,0,0,0,100,100,0,NaN,NaN,NaN,100,0,0,0,100,0,path_factory_logistics_showcase_theta10_v3
LPV-MPC_theta0,all,0,1,1,51,0,0,0,0,0,0.0609501539356516,0.126625803468147,0,0,0.22691940322008,0.235387117238755,82.9528661357277,146.683712535538,0,0,2.25497072482806e-06,2.68580832596399e-06,0,0,0,5.92268679383926,2.43365708221993,9.44698171263555e-08,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,100,100,0,NaN,NaN,NaN,100,0,0,0,100,0,path_factory_logistics_showcase_theta10_v3
LPV-MPC_oracle_theta,all,0,1,1,51,0,0,0,0,0,0.0609501539356516,0.126625803468147,0,0,0.22691940322008,0.235387117238755,82.9528661357277,146.683712535538,0,0,2.25497072482806e-06,2.68580832596399e-06,0,0,0,5.92268679383926,2.43365708221993,9.44698171263555e-08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,path_factory_logistics_showcase_theta10_v3
ModernTCN,all,0,1,1,51,0,0,0,0,0,0.0653250367258029,0.137656632067751,0,0,0.248720784937345,0.25733676260663,86.7237870087524,157.120465361513,0,0,2.68626322140797e-06,3.29667620313501e-06,0,0,0,7.335072302635,2.70833386099923,1.5942740732674e-07,0.0060623,0.00670642,0.007021179,0.0070218,0,0,0,0,0,0,100,100,0,NaN,NaN,NaN,100,0,0,0,100,0,path_closed_loop_long_updown_theta10_v1
GRU,all,0,1,1,51,0,0,0,0,0,0.0653250367258029,0.137656632067751,0,0,0.248720784937345,0.25733676260663,86.7237870087524,157.120465361513,0,0,2.68626322140797e-06,3.29667620313501e-06,0,0,0,7.335072302635,2.70833386099923,1.5942740732674e-07,0.0061229,0.00682986,0.007279367,0.0072835,0,0,0,0,0,0,100,100,0,NaN,NaN,NaN,100,0,0,0,100,0,path_closed_loop_long_updown_theta10_v1
TCN,all,0,1,1,51,0,0,0,0,0,0.0653250367258029,0.137656632067751,0,0,0.248720784937345,0.25733676260663,86.7237870087524,157.120465361513,0,0,2.68626322140797e-06,3.29667620313501e-06,0,0,0,7.335072302635,2.70833386099923,1.5942740732674e-07,0.0064023,0.00687122,0.006909322,0.0069095,0,0,0,0,0,0,100,100,0,NaN,NaN,NaN,100,0,0,0,100,0,path_closed_loop_long_updown_theta10_v1
LPV-MPC_theta0,all,0,1,1,51,0,0,0,0,0,0.0653250367258029,0.137656632067751,0,0,0.248720784937345,0.25733676260663,86.7237870087524,157.120465361513,0,0,2.68626322140797e-06,3.29667620313501e-06,0,0,0,7.335072302635,2.70833386099923,1.5942740732674e-07,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,100,100,0,NaN,NaN,NaN,100,0,0,0,100,0,path_closed_loop_long_updown_theta10_v1
LPV-MPC_oracle_theta,all,0,1,1,51,0,0,0,0,0,0.0653250367258029,0.137656632067751,0,0,0.248720784937345,0.25733676260663,86.7237870087524,157.120465361513,0,0,2.68626322140797e-06,3.29667620313501e-06,0,0,0,7.335072302635,2.70833386099923,1.5942740732674e-07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,path_closed_loop_long_updown_theta10_v1
ModernTCN,all,0,1,1,51,0,0,0,0,0,0.062634504819413,0.12993456704513,0,0,0.232671958400052,0.241418624831252,84.5076219941393,149.727851730771,0,0,2.29118440919735e-06,2.71906627169471e-06,0,0,0,6.20774644454337,2.49153495751983,9.55556081722604e-08,0.0062784,0.00692008,0.006993698,0.0069938,0,0,0,0,0,0,100,100,0,NaN,NaN,NaN,100,0,0,0,100,0,path_closed_loop_sharp_turn_transition_theta10_v1
GRU,all,0,1,1,51,0,0,0,0,0,0.062634504819413,0.12993456704513,0,0,0.232671958400052,0.241418624831252,84.5076219941393,149.727851730771,0,0,2.29118440919735e-06,2.71906627169471e-06,0,0,0,6.20774644454337,2.49153495751983,9.55556081722604e-08,0.0060278,0.006824655,0.007432593,0.0074373,0,0,0,0,0,0,100,100,0,NaN,NaN,NaN,100,0,0,0,100,0,path_closed_loop_sharp_turn_transition_theta10_v1
TCN,all,0,1,1,51,0,0,0,0,0,0.062634504819413,0.12993456704513,0,0,0.232671958400052,0.241418624831252,84.5076219941393,149.727851730771,0,0,2.29118440919735e-06,2.71906627169471e-06,0,0,0,6.20774644454337,2.49153495751983,9.55556081722604e-08,0.0061415,0.006671755,0.006969397,0.0069722,0,0,0,0,0,0,100,100,0,NaN,NaN,NaN,100,0,0,0,100,0,path_closed_loop_sharp_turn_transition_theta10_v1
LPV-MPC_theta0,all,0,1,1,51,0,0,0,0,0,0.062634504819413,0.12993456704513,0,0,0.232671958400052,0.241418624831252,84.5076219941393,149.727851730771,0,0,2.29118440919735e-06,2.71906627169471e-06,0,0,0,6.20774644454337,2.49153495751983,9.55556081722604e-08,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,100,100,0,NaN,NaN,NaN,100,0,0,0,100,0,path_closed_loop_sharp_turn_transition_theta10_v1
LPV-MPC_oracle_theta,all,0,1,1,51,0,0,0,0,0,0.062634504819413,0.12993456704513,0,0,0.232671958400052,0.241418624831252,84.5076219941393,149.727851730771,0,0,2.29118440919735e-06,2.71906627169471e-06,0,0,0,6.20774644454337,2.49153495751983,9.55556081722604e-08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,path_closed_loop_sharp_turn_transition_theta10_v1
